Chinese,Fitted
"插花泡沫","flower arrangement foam"
"箔击剑","foil fencing"
"食物夾","food clip"
"炸制食物","fried food"
"冷冻快餐","frozen snacks"
"玻璃制品","Glass product"
"政府瘫痪","government paralysis"
"极大的悲伤","great sadness"
"政府首脑会议","heads of government meeting"
"重头剑","heavy sword"
"住房问题","housing issue"
"抱着树","hugging tree"
"墨水笔","ink pen"
"实习医生","intern doctor"
"江南","Jiangnan"
"了如指掌","Know everything"
"洗衣房","laundry room"
"梁","Liang"
"散叶莴苣","loose leaf lettuce"
"乐透奖","lotto prize"
"莲蓬","Lotus pod"
"金属制品","made from metal"
"看象人","mahout"
"中长距离","medium to long distance"
"除痣","Mole removal"
"苦瓜","Momordica charantia"
"多元文化主义","multiculturalism"
"妇产科","Obstetrics and Gynecology"
"开火","open fire"
"野外服装","Outdoor clothing"
"圆满坐姿","perfect sitting posture"
"体育课","physical education class"
"琴码","piano code"
"药水瓶","Potion bottle"
"粉末状雪","powdery snow"
"贵重宝石","precious stones"
"油酥面包","Puff bread"
"引体向上","pull-ups"
"房产代理","real estate agency"
"攀岩技术练习","rock climbing technique practice"
"王室成员","royal family member"
"遮护的手势","shielding gesture"
"衬衫式茄克衫","shirt style jacket"
"店主","shopkeeper"
"瘦腰带","slim belt"
"熏猪肉","smoked pork"
"股票行情","stock quotes"
"街头打扮","street dressing"
"德克萨斯旗","texas flag"
"旧货店","thrift shop"
"售票机","Ticket vending machine"
"打结","tie"
"车辆组成部分","vehicle components"
"慢步机","Walking machine"
"万岩柱","Wan Yanzhu"
"货仓车","Warehouse truck"
"轮椅通道","Wheelchair accessible"
"酿酒蒸馏器","wine still"
"腹腔","Abdomen"
"爽约","Absence"
"小巧精致的个人配件","accessories"
"汽车遮阳纸","accessory"
"再出发","act"
"挂电话","action"
"手捂耳朵","action"
"手指摇动","action"
"扭臂","action"
"甩掉","action"
"叛变","action"
"听从于","action"
"雪地滑翔","Activity"
"叠罗汉","Activity"
"参拜神社","Activity"
"脂肪细胞","Adipose Cell"
"模仿成人","Adult Imitation"
"在线广告","Advertisement"
"电视商业广告","Advertisement"
"伊洛魁飞机","aircraft"
"飞机尾翅","aircraft"
"梅酒","alcohol"
"古典希腊","Ancient Greece"
"折角镜","Angled Mirror"
"鬼狒","Animal"
"白臀野牛","Animal"
"冷血动物","Animal"
"模仿动物","Animal Imitation"
"二次元","anime"
"公共服务公告","announcement"
"手机天线","antenna"
"定位器天线","antenna"
"电视天线","antenna"
"圆月窗","arched window"
"海上建筑","Architecture"
"交通建筑","Architecture"
"海洋保护区","area"
"公共观赏区","area"
"癌症认识功能区","area"
"绿化隔离带","area"
"盔甲服","armor"
"装饰画","Art"
"日本书法","Art"
"根雕","Art"
"剪报","Article"
"米开朗基罗","Artist"
"不对称的服装","Asymmetric Clothing"
"羽量级选手","Athlete"
"知名游泳运动员","Athlete"
"残疾运动员","Athlete"
"著名网球运动员","Athlete"
"动物攻击","attack"
"身份着装","attire"
"网络拍卖","Auction"
"著名作家","Author"
"自传","autobiography"
"女演员奖","Award"
"驯服的狒狒","Baboon"
"椅子靠背","Back"
"跳背游戏","Backgammon"
"反手击球","Backhand Stroke"
"沙门菌","bacteria"
"S. Aureus","bacteria"
"土壤细菌","bacteria"
"宿营袋","Bag"
"鞍囊","Bag"
"热气球运动","Balloon"
"水气球","Balloon"
"人墙","barrier"
"基皮细胞癌","basal cell carcinoma"
"公元前","BC"
"忘忧珠","Bead"
"动物冲锋","behavior"
"沆瀣一气","behavior"
"野莓","berries"
"公共自行车","Bicycle"
"储粮仓","bin"
"地肤","bindweed"
"生物灾害标志","Biohazard Symbol"
"雉","Bird"
"裸鼻雀","Bird"
"哈里斯鹰","Bird"
"海滨雀","Bird"
"狩猎鸟类","Bird Hunting"
"小鸟笼","Birdcage"
"鸟瞰","birds eye view"
"酥饼","biscuit"
"叼着","Biting"
"电热毯","Blanket"
"布隆德尔","blondel"
"血包","Blood Bag"
"公猪","Blossom"
"吹火者","blower"
"纹身奇观","body art"
"气管","Body Part"
"波音737","Boeing 737"
"留言簿","Book"
"州界","border"
"斯达克","brand"
"鱼子烤面包","Bread"
"焦黄面包","Bread"
"黑麦脆饼","Bread"
"面包切片机","bread slicer"
"赛特种猎狗","breed"
"新娘用品商店","Bridal Shop"
"架柱桥","bridge"
"7月15日烈士桥","bridge"
"维多利亚豪斯","building"
"斗牛比赛","bullfighting"
"弹力绳","Bungee Cord"
"无轨电车","Bus"
"温暖的商业","Business"
"毛莨科","Buttercup Family"
"梨果仙人掌","Cactus"
"孔雀仙人掌","Cactus"
"军校学员","cadet"
"雪球蛋糕","Cake"
"蛋白饼糕","Cake"
"蕨饼","Cake"
"神马","Camel"
"果味软糖","Candy"
"甘草糖","Candy"
"佳能公司","canon"
"漆布","canvas"
"大峡谷北缘","Canyon"
"宝马迷你","Car"
"普通级轿车","Car"
"自主移动小车","Car"
"卡拉菲格拉","Carafe"
"关节软骨","Cartilage"
"连环杀人事件","case"
"收银台","Cash Register"
"南美栗鼠猫","cat"
"德文莱克斯猫","cat"
"东京猫","cat"
"桨叉架船","Catamaran"
"阴极显象管","cathode ray tube"
"名人吐槽节目","celebrity roast"
"小细胞","cell"
"α细胞","cell"
"水泥搅拌车","Cement Mixer"
"票务中心","center"
"音乐体验馆","center"
"升降椅","Chair"
"写字椅","Chair"
"睡美人","character"
"个性丑男","character"
"史都老人","character"
"浪人","character"
"东方三贤士","Characters"
"共享充电","Charging"
"车轮状干酪","Cheese Wheel"
"漂白粉","Chemical"
"冷冻剂","Chemical"
"小公鸡","chick"
"鸡锅饼","chicken pot pie"
"养鸡房内的鸡","chickens"
"首席部长","chief minister"
"未成熟的","childish"
"夹心巧克力","Chocolate"
"快速追镜","cinematography"
"柠檬酸","citric acid"
"高棉文明","civilization"
"蛤蚌","clams"
"拍板","clapperboard"
"说话课","class"
"产前班","class"
"用爪子抓","Claw"
"晾衣架","Clothes Rack"
"罗布","Clothing"
"竞赛短裤","Clothing"
"伞裙","Clothing"
"蓬松袖","Clothing"
"猎伪装","Clothing"
"骑师服","Clothing"
"娃娃装","Clothing"
"小披衫","Clothing"
"皮套裤","Clothing"
"竖起来的衣领","Clothing"
"蛋白质外壳","coating"
"石榴玛格丽特","Cocktail"
"曼哈顿鸡尾酒","Cocktail"
"颜色编码","Coding"
"结肠镜检查","colonoscopy"
"手工着色","Coloring"
"政论","commentary"
"刨花大赛","Competition"
"重量赛","Competition"
"竞争热","Competition"
"波纹贝壳通心粉","conchiglie"
"身体畸形","Condition"
"透不过气来","Condition"
"没有汽油","Condition"
"运动过度综合症","Condition"
"停工","Condition"
"胃弱","Condition"
"鸡皮疙瘩","Condition"
"胆石","Condition"
"机密","confidential"
"巴以冲突","Conflict"
"北斗七星","Constellation"
"小盒子","Container"
"酱油壶","Container"
"手动控制","Control"
"杏仁小圆饼","Cookie"
"青衣","Costume"
"水袖","Costume"
"售票处","counter"
"上覆的","covered"
"用手遮着眼睛","covering eyes"
"性暴力","Crime"
"库克太太三明治","croque madame"
"交叉询问","cross-examination"
"凤冠","crown"
"长方体","cuboid"
"袖口链","cufflink"
"馆长","curator"
"儿媳妇","daughter-in-law"
"胡思乱想","daydreaming"
"腐烂","decay"
"去中心化金融","decentralized finance"
"假山石","Decoration"
"花饰","Decoration"
"雨神恰克姆","deity"
"三角肌","Deltoid"
"滚筒除臭剂","Deodorant"
"德玛罗勒","Dermaroller"
"覆盆子塔","dessert"
"德国大蛋糕","dessert"
"海拔表","device"
"准距计","device"
"手压式","device"
"穿孔卡片阅读器","device"
"飞行装置","device"
"舞步图","Diagram"
"焗面","dish"
"圆白菜卷","dish"
"日式蒸蛋","dish"
"炸猪排","dish"
"豉汁凤爪","dish"
"豆腐汤锅","dish"
"涂油烤肉","dish"
"酸橘汁咸鱼","dish"
"蛋包饭","dish"
"麻辣鸭脖","dish"
"印度菠菜奶酪咖喱","dish"
"肉夹馍","dish"
"乌冬烧","dish"
"集中供热厂","district heating plant"
"美国宪法","Document"
"知情同意书","Document"
"报价文本","Document"
"长毛猎肠犬","Dog"
"阿富汗猎犬","Dog"
"手钩公仔","Doll"
"争霸","Domination"
"不要孤注一掷","don't put all your eggs in one basket"
"翼型门","Door"
"有色粉笔画","drawing"
"荷叶边连衣裙","Dress"
"为成功而打扮","dress for success"
"油醋汁","dressing"
"意大利沙拉酱","dressing"
"船势","drift"
"姜汁啤酒","Drink"
"拉西酸奶奶昔","Drink"
"弹珠汽水","Drink"
"自由古巴","Drink"
"凤梨奶昔","Drink"
"司机室","driver's cab"
"无人驾驶汽车","Driverless Car"
"美洲家鸭","duck"
"红头鸭","duck"
"肚帕塔","Dupatta"
"电子垃圾","E-Waste"
"御寒耳罩","earmuffs"
"海外学习","Education"
"语言培训","Education"
"受精卵","Egg"
"蛋杯","egg cup"
"蛋酒","eggnog"
"电解质","electrolyte"
"解放宣言","emancipation proclamation"
"褶绣","Embroidery"
"勉励语","Encouragement"
"英国茅膏菜","english sundew"
"衬膜信封","Envelope"
"抗疫","epidemic prevention"
"液压升降平台","Equipment"
"进口设备","Equipment"
"足球球门柱","Equipment"
"微波器具","Equipment"
"石油钻塔","Equipment"
"挂肉架","Equipment"
"啤酒屋","establishment"
"美食酒吧","establishment"
"纳瓦霍族","Ethnicity"
"切诺基民族","Ethnicity"
"城市之夏","Event"
"米兰时装周","Event"
"滑雪聚会","Event"
"水中竞技赛","Event"
"发生","Event"
"欧洲冲浪锦标赛","Event"
"驯野马竞技赛","Event"
"赛车事件","Event"
"闺蜜聚会","Event"
"专业管理人员日","Event"
"笼斗","Event"
"耶稣降生","Event"
"握力器","Exercise Equipment"
"哭树木","expression"
"醒目的眉毛","eyebrows"
"毛线织物","fabric"
"临时性厕所","facility"
"鳌虾科","Family"
"夫或妻的姐妹","Family"
"团扇","fan"
"风梨园","Farm"
"美国联邦调查局","FBI"
"女性与母性","Femininity"
"妇女政权论者","feminist"
"护栏网","Fence"
"湿婆节","festival"
"打树花","festival"
"社火","festival"
"鬼节","festival"
"手足节","festival"
"玻璃丝","Fiber"
"虚构","fiction"
"小无花果树","Fig Tree"
"蛇王","figure"
"电影首映式","Film Premiere"
"直升机拍摄","Filming"
"脂鲤","Fish"
"鳍刺类鱼","Fish"
"巨骨舌鱼","Fish"
"山鳟","Fish"
"渔网捕鱼","Fishing"
"跆博健身操","fitness"
"中东国家国旗","Flag"
"玉米粉","Flour"
"香豌豆","Flower"
"玫瑰茄","Flower"
"西伯利亚鸢尾","Flower"
"占星百合","Flower"
"海棠","Flower"
"垂枝樱花","Flower"
"花展","flower show"
"食品集市","food market"
"梅林","Forest"
"原始森林","Forest"
"林道","forest path"
"三叶虫","Fossil"
"指板","Fretboard"
"软霜","frosting"
"信托基金","fund"
"持续进修基金","fund"
"霉病","Fungal Disease"
"半知菌类","fungi"
"银耳","Fungus"
"熔锅","Furnace"
"独腿桌子","Furniture"
"单人床","Furniture"
"纸牌接龙游戏","game"
"飞镖比赛","game"
"小金属地掷球","game"
"迷你高尔夫","game"
"大蒜编织","garlic braid"
"胃酸","gastric acid"
"鸟居","Gate"
"宗教集会","gathering"
"虎眼石","Gemstone"
"天青石","Gemstone"
"拉达沙岩","geological formation"
"祝愿康复卡","get well card"
"布里克斯代伦冰川","Glacier"
"玻璃板","glass panel"
"淘金小葫瓜","Gourd"
"总督","governor"
"粗麦食物","grain"
"商业用图","graphic"
"喜林草","Grass"
"青豆","Green Pea"
"胡椒研磨瓶","grinder"
"AK47步枪","Gun"
"高低杠","Gymnastics Equipment"
"蜡脱眉毛","Hair Removal"
"惠方卷","hair style"
"羽毛剪发型","Hairstyle"
"手绘","hand"
"兰花指","hand gesture"
"手工卷","Hand Roll"
"猴神哈奴曼","Hanuman"
"和丰","Harmony"
"小丑帽","Hat"
"宽边软帽","Hat"
"套叠式平顶帽","Headwear"
"健康2010","health"
"发情","heat"
"直升机远足","heli-hiking"
"螺旋面","Helix"
"酞磺胺醋酰","Herbicide"
"法国香草束","herbs"
"内六角板手","Hex Wrench"
"中学","High School"
"注意高压标志","High Voltage Sign"
"小酒壶","hip flask"
"十字军东征","historical event"
"曲棍球队","hockey team"
"打孔器","Hole Puncher"
"白色情人节","holiday"
"父母节","holiday"
"驮马","Horse"
"骑马游览","Horseback Riding"
"马戏团节目主持人","host"
"潮热发烧","hot flashes"
"地区性住宅","housing"
"猎鹿人","Hunter"
"甲亢","hyperthyroidism"
"早产儿保育器","Incubator"
"印第安服装","indian clothing"
"工业用门","industrial door"
"肠道感染","infection"
"脑损伤","injury"
"巨吻棘头虫属","Insect"
"膜翅目昆虫","Insect"
"手碟鼓","instrument"
"降B高音萨克斯管","instrument"
"日本木鱼","instrument"
"安培表","instrument"
"太卷","intensity"
"小组访谈","interview"
"皮疹","Irritation"
"人工浮岛","Island"
"非卖品","item"
"菠萝蜜","jackfruit"
"装有宝石的","Jewelled"
"颈环","Jewelry"
"职业再培训","Job Retraining"
"猴子丛林","jungle"
"浪花皮划艇","Kayak"
"请勿践踏草地记号","keep off the grass sign"
"选择键","Key"
"医疗箱","kit"
"以色列防身术","krav maga"
"洗澡梯","Ladder"
"火山湖","Lake"
"恩纳代尔湖","Lake"
"兰德","Land"
"大肠","large intestine"
"法学","Law"
"鱼跃","leap"
"出发","leaves"
"电子腿","Leg"
"英文字母E","letter"
"英文字母J","letter"
"英文字母U","letter"
"防洪堤","Levee"
"锅盖","Lid"
"救生舱","Lifeboat"
"救生椅","Lifeguard Chair"
"松弛线","line"
"蓝色橙皮酒","Liqueur"
"消防处标志","Logo"
"长嘴雀鳝","longnose gar"
"瞭望塔","Lookout Tower"
"恋爱集会","love-in"
"自卑","Low Self-Esteem"
"木材场","Lumberyard"
"烤面条加干酪酱","Macaroni and Cheese"
"履带式推土机","machine"
"小规模的放大","Magnification"
"大倍数放大","Magnification"
"日本漫画风格","Manga Style"
"壁炉架","Mantelpiece"
"定位地图","Map"
"摇铃玩具","Maraca"
"金花菊","Marigold"
"标点符号","mark"
"定绳","marker"
"按摩振荡器","Massager"
"炭黑","Material"
"琉璃","Material"
"簇绒","Material"
"人造皮革","Material"
"碳纤维","Material"
"聚碳酸酯","Material"
"林冠空隙度","measurement"
"英制度量衡","measurement"
"鸡大腿","Meat"
"凸轮装置","mechanism"
"血清样品","Medical Sample"
"核酸检测","Medical Test"
"抗阳痿药物","medication"
"灵魂媒介","medium"
"厚皮甜瓜","Melon"
"膜","membrane"
"纪念活动","Memorial Event"
"猫的叫声","meow"
"胶束水","micellar water"
"奶粉","milk powder"
"纱厂","Mill"
"螺旋模型","model"
"独角戏","monologue"
"道德指向","moral compass"
"蚊帐","mosquito net"
"凯恩山顶","Mountain Peak"
"垮掉的一代","movement"
"扭动身体","movement"
"枕额肌","Muscle"
"环境音乐","Music"
"抒情音乐","Music"
"货仓音乐","Music"
"四分音符","musical notation"
"八分音符","musical notation"
"钉住","nail"
"咬指甲","Nail Biting"
"亚洲全麦面","Noodles"
"传字条","note"
"数字60","Number"
"数字80","Number"
"数字75","Number"
"停车场管理员","Occupation"
"害虫根除者","Occupation"
"厨房工人","Occupation"
"捕龙虾的渔夫","Occupation"
"登记处","Office"
"平板印刷","offset printing"
"葵花油","oil"
"汽油加工厂","Oil Refinery"
"出血","Oozing"
"开叉","Opening"
"蝴蝶兰","Orchid"
"拓野运动","outdoor activity"
"腹绞痛","Pain"
"泥墙画","painting"
"帕尔勿斯","palms"
"开关板","panel"
"电视幕墙","panel"
"花边灯笼裤","Pants"
"公文堆积","Paperwork"
"宽面","pappardelle"
"寄生虫感染","parasitic infection"
"壁炉膛","part"
"通心粉沙拉","Pasta Salad"
"点心派","pastry"
"错误道路","path"
"犬牙织纹","Pattern"
"额外报酬","payment"
"赔偿补偿","payment"
"双狮峰","peak"
"松狮","Pekingese dog"
"帽带企鹅","Penguin"
"尖管通心粉","Penne"
"马剌","People"
"黑加仑","pepper"
"黑影照片","photo"
"从旋转的角度拍摄","Photography"
"遥控摄影","Photography"
"在叉车上的角度拍摄","Photography"
"从在救护车上的角度拍摄","Photography"
"格格不入","phrase"
"孤注一掷","phrase"
"高处不胜寒","phrase"
"猪舍","pigsty"
"接球手","pink"
"粉柚","pink grapefruit"
"匹诺曹","pinocchio"
"波管","pipe"
"机器活塞","Piston"
"恩纳","place"
"南丘","place"
"加里穿越","place"
"拉斯维加斯法拉","place"
"平民表决广场","place"
"纳伊胡比","place"
"达西基","place"
"艾米利高地","place"
"黑死病","plague"
"旅行方案6","Plan"
"指甲花树","Plant"
"三叶草芽","Plant"
"悬钩子属植物","Plant"
"高山杜鹃","Plant"
"维多利亚蓝鼠尾草","Plant"
"泡桐属","Plant"
"Angel's 喇叭","Plant"
"热电厂","Plant"
"蒿属","Plant"
"葫芦科","plant"
"打褶","pleat"
"偏振光色感计","Polarizer"
"人民党","Political Party"
"波尔卡音乐","polka music"
"台球房","Pool Hall"
"角罂粟花","poppy flower"
"轻便电炉","portable stove"
"站立头到膝的体式","pose"
"手碰大脚趾式","pose"
"首席运营官","Position"
"航空邮件","post"
"土豆奶汁","potato"
"肉汁薯条","poutine"
"电源设备","Power Equipment"
"半熟品","Preparation"
"总理","prime minister"
"亚麻油毡版画","print"
"抽签","procedure"
"硬膜外镇痛","procedure"
"冷压","process"
"酸洗","process"
"切制肉","Processed Meat"
"护口器","protective gear"
"和平示威","Protest"
"一个好汉三个帮","proverb"
"咖喱角","puff"
"脉动","pulse"
"南瓜属","Pumpkin"
"瞳孔保证金","pupillary margin"
"浣熊帽","raccoon hat"
"泥中赛跑","race"
"跑马场","racetrack"
"美国赛车","racing"
"狗拉雪橇比赛","racing"
"动物拉雪橇比赛","racing"
"铁道路口","Railroad Crossing"
"高尔夫练习场","range"
"五级","Rating"
"音像店","Record Store"
"红花","red flower"
"红土","Red Soil"
"什叶派伊斯兰","Religion"
"犹太教哈西德主义","Religion"
"建筑改造","Renovation"
"动物研究","Research"
"剪彩","ribbon cutting"
"旱冰场","rink"
"河岸区","Riverbank"
"89号公路","Road"
"双车道","Road"
"公路路障","Roadblock"
"阿西莫","Robot"
"转盘拨号电话","Rotary Phone"
"希腊厚绒粗地毯","Rug"
"黑面包","Rye Bread"
"S形","S-shape"
"银行保管箱","safe deposit box"
"杂菜色拉","Salad"
"培根三明治","Sandwich"
"佛卡夏三明治","Sandwich"
"单片三明治","Sandwich"
"腰部周围的装饰短裙","Sarong"
"飞行学校","school"
"施莱姆氏管","scientific"
"屏幕分割","screen"
"复制雕像","Sculpture"
"花园矮人雕像","Sculpture"
"皱海葵","Sea Anemone"
"珍珠牡蛎","Seafood"
"立夏","Season"
"莲子","Seed"
"半正式","semi-formal"
"半贵重宝石","semi-precious gemstone"
"阴影叠层","shadow overlay"
"半圆形","Shape"
"鱼尾","Shape"
"草棚","Shed"
"大法螺","shell"
"登陆舰","Ship"
"大油轮","Ship"
"摩洛卡赛尔号","Ship"
"快艇鞋","shoes"
"汽水店","shop"
"肩外展","shoulder abduction"
"肩倒立式","Shoulder Stand"
"脱口秀","show"
"锈线菊属的灌木","shrub"
"腹侧面","side"
"吸烟处标志","Sign"
"营业时间标志","Sign"
"危险标志","Sign"
"老年人通行标志","Sign"
"驾驶通行标志","Sign"
"禁止吸烟","Sign"
"行人信号灯","signal"
"姐姐","Sister"
"脚尺寸","size"
"串肉签","Skewer"
"滑雪痕","Ski Track"
"自由式滑雪空中技巧","Skiing"
"干冰滑雪","Skiing"
"打水漂","Skimming Stones"
"小城市","Small Town"
"夜宵","Snack"
"炒栗子","Snack"
"堆雪人","Snowman"
"扫雪车","Snowplow"
"连接插座","socket"
"雇佣兵","soldier"
"圣歌","song"
"动物声音","sounds"
"火星环球探测","spacecraft"
"西班牙大葱","Spanish Onion"
"多香果粉","Spice"
"墨西哥椒","Spice"
"分叉","split"
"竹筒勺","Spoon"
"滚球运动","Sport"
"滑水运动","Sport"
"花匠露天广场","square"
"白脱奶特瓜","squash"
"驿站马车","stagecoach"
"立式向前弯曲姿势","Standing Forward Bend"
"酵母酸种","starter"
"土耳其语字幕站","Station"
"胜利女神","Statue"
"卧佛","Statue"
"奇迹石","stone"
"托盘架","storage"
"地毯商店","Store"
"时钟结构","structure"
"天梯","structure"
"后期制作室","studio"
"从属关系","subordination"
"泥状食物","substance"
"蜘蛛侠","Superhero"
"蝙蝠侠","Superhero"
"叶黄素","supplement"
"辅酶Q10","supplement"
"隆鼻手术","Surgery"
"鱿鱼寿司","Sushi"
"玉子寿司","Sushi"
"珍珠粉圆","sweets"
"弯刀","Sword"
"轮椅标志","Symbol"
"医用X射线摄影系统","system"
"汽车导航系统","system"
"化学元素周期表","Table"
"曝光表","Table"
"乒乓球桌","Table Tennis Table"
"佯攻","tactic"
"羚牛","takin"
"汤圆","Tangyuan"
"发脾气","Tantrum"
"钻头蛛","Tarantula"
"易被击中的目标","target"
"草莓果茶","tea"
"茶叶盒","tea caddy"
"盐印法","technique"
"石洗","technique"
"进口技术","Technology"
"视频技术","Technology"
"超高清电视","television"
"宽屏电视","television"
"电视架","Television Stand"
"丹配拉画法","Tempera Painting"
"刚毛小猛犬","Terrier"
"推测测验","test"
"这山望着那山高","The Grass Is Always Greener"
"业余戏剧演出","theater"
"三分球","three-pointer"
"取食签","Ticket"
"清理","tidy"
"大约12世纪","time period"
"踮着脚尖走","Tiptoe"
"白纤维组织","tissue"
"体育教练姓名","title"
"史前墓碑","Tombstone"
"填缝枪","tool"
"灰浆桶","tool"
"木工刮刀","tool"
"橡胶刮","tool"
"裁缝用具","tool"
"浮力棒","tool"
"分趾器","tool"
"牙冠","Tooth Crown"
"体育火炬","torch"
"加拉帕戈斯陆龟","Tortoise"
"毛织巾","Towel"
"电视塔","Tower"
"玩具消防车","Toy"
"玩具马车","Toy"
"点头娃娃","Toy"
"腐皮卷","Toy"
"沙桶和沙铲","toys"
"铁路侧线","track"
"婚纱裙拖","train"
"消防训练","training"
"废纸篓","trash can"
"手术盘","Tray"
"暖油照头淋疗法","treatment"
"皇后伞树","Tree"
"美国崖柏属树","Tree"
"血木树","Tree"
"欧锻树","Tree"
"泡桐树","Tree"
"阿月浑子树","Tree"
"西方杜松树","Tree"
"庞多萨松木","Tree"
"七叶树","Tree"
"三叶杨","Tree"
"阿帕奇族","tribe"
"魔术帽把戏","trick"
"学费","tuition"
"电视红人","TV Personality"
"动物乳房","Udder"
"单腿轮式","Unicycle"
"比赛衣服","Uniform"
"上楼","upstairs"
"扫地机器人","vacuum"
"绿辣椒","Vegetable"
"切细的蔬菜","Vegetable"
"高山稀疏草地","vegetation"
"三轮汽车","vehicle"
"敞篷巴士","vehicle"
"汽车拖拉房屋","vehicle"
"改装汽车","vehicle"
"无人地面车","vehicle"
"视频拍摄","video shoot"
"托罗威普观景点","Viewpoint"
"细胞肥大病毒","Virus"
"拉沙热病毒","Virus"
"乙型肝炎病毒","Virus"
"病毒性甲型肝炎","Virus"
"烟酸","Vitamin"
"维希拉猎犬","Vizsla"
"环形涡","Vortex"
"生物化学放射战","War"
"水浪费","waste"
"山顶阳光","Weather"
"东北风","Weather"
"平流雾","Weather"
"焊枪","Welding Torch"
"仪表堂堂","Well-dressed"
"一捆小麦","Wheat"
"马车轮","Wheel"
"白木板","whiteboard"
"白鲑","whitefish"
"推拉窗","Window"
"漏花窗","Window"
"含酒精葡萄酒","Wine"
"女子体操","women's gymnastics"
"妇女选举权","women's suffrage"
"有节疤的木料","wood"
"流动的失业工人","workers"
"雅丹","yardang"
"兔年","year of the rabbit"
"蝎子式瑜伽姿势","yoga pose"
"卧英雄式","yoga pose"
"彩斑马","Zebra"
"推镜头","Zoom In"
"诺德区","area"
"电池储能","battery"
"月桂树","Bay Leaf"
"菜泥","blend"
"高速滑水板","boards"
"隆胸手术","breast implant"
"警报按钮","buttons"
"哑剧","Clown"
"黄绿色","Colors"
"圣餐式","Communion"
"退出键","computer"
"认真的重要性","Concepts"
"知识手印","Concepts"
"时空旅行","Concepts"
"英镑","Currency"
"播放日期","dates"
"电视静音","Event"
"单足运动","exercises"
"低平板支撑","exercises"
"世界博览会","Exhibition"
"倒下","falls"
"端午节","festival"
"做一半","finishing"
"鱼孵化场","fish"
"自然的力量","force"
"捡棒子","game"
"赌台管理员","game"
"摇滚手势","gestures"
"吻手","gestures"
"冲浪文化的手势","gestures"
"灰色斑纹马","horses"
"安东尼奥·高迪","individual"
"罗伯特斯科特","individual"
"C K Yang","individual"
"戒童","individual"
"Bob Estes","individual"
"伊丽莎白二世","individual"
"阿方索十三世","individual"
"诗丽吉王后","individual"
"Gene Kelly","individual"
"阿亚图拉赛义德·阿里·哈梅内伊","individual"
"达尔文","individual"
"老色迷","individual"
"神射手","individual"
"拉法叶","individual"
"爱因斯坦","individual"
"走失的人","individual"
"瑞奇马丁","individual"
"穆尔吾兹","individual"
"健康生活从内而外","Lifestyles"
"血红扇头蜱","mark"
"全食市场","marketplace"
"光驱","Motivation"
"纽约式舞","movement"
"腓肠肌","muscle"
"卡泼卫勒舞音乐","music"
"特务机构","organization"
"郊野公园","parks"
"招财进宝","phrase"
"小号字印刷的附加条款","phrase"
"红宝石葡萄柚","plant"
"金银花科","plant"
"全球可再生能源论坛","platform"
"暴风雨(戏剧)","Playing"
"哈姆莱特","Playing"
"彩色平版印刷","print"
"合同问题","Problems"
"异议","Protest"
"订票","purchase"
"练习题","question"
"吊环","rings"
"花岗岩岩基","rocks"
"支票交换时间已过","rules"
"罗勒酱","Sauce"
"弹唱小乐曲","song"
"火车安全人员","staff"
"鹰王式","Styles"
"ins风","Styles"
"抒情的","Styles"
"虚拟专用网","system"
"XBB毒株","tension"
"心脏搭桥手术","vein"
"确认仪式","Verification"
"红脸","visage"
"百科全书","encyclopedia"
"永远年轻","Forever young"
"克里奥尔人","Creole"
"鼻窦","sinus"
"筝","Zither"
"滑索","Zip Line"
"泽费尔","Zephyr"
"扎布里斯基角","zabriskie point"
"少男","young man"
"瑜伽砖","Yoga Block"
"回力球","Yo-yo"
"让路标志","Yield Sign"
"紫杉","yew tree"
"黄西红柿","Yellow Tomato"
"园顶小帽","Yarmulke"
"日式肉串","yakitori"
"铁艺","Wrought Iron"
"腕骨","wrist bone"
"第二次世界大战","World War II"
"第一次世界大战","World War I"
"世界各国音乐","World Music"
"木工车削","woodturning"
"木栅栏","wooden fence"
"木版画","Woodcut"
"女子足球","Women's Soccer"
"女神节","women's day"
"冬樱花","Winter Cherry"
"翼装","Wingsuit"
"刮水板","Windshield Wiper"
"窗台花箱","Window Box"
"柳衫","Willow Tree"
"野生动物保护","Wildlife Conservation"
"百日咳","whooping cough"
"观看鲸鱼","Whale Watching"
"焊工头盔","Welding Helmet"
"网页浏览器","Web Browser"
"防水","Waterproof"
"水香花菜","Water Spinach"
"水滑道","Water Slide"
"浪费钱","Wasting Money"
"和纸","Washi Paper"
"绿芥末酱","Wasabi"
"三角警示架","Warning Triangle"
"肋木","Wall Bars"
"用双手走路","walking on hands"
"和牛","wagyu beef"
"涡","Vortex"
"Volcanic Terrain","volcanic terrain"
"虎钳夹口","Vise Grip"
"中提琴","Viola"
"维奥拉","Viola"
"村民","villager"
"美国退伍军人节","veterans day"
"军人节","veterans day"
"眩晕","Vertigo"
"有空房","Vacancy"
"V形","V-shape"
"尿检样品","Urine Sample"
"城市沙滩","Urban Beach"
"顶拳","Uppercut"
"卸载","Unloading"
"美国军事","united states"
"民主党","united states"
"美国共和党","united states"
"贝克山荒野地","united states"
"美国总统选举","united states"
"美国一美元钞票","united states"
"美国斗牛梗","united states"
"华盛顿总统","united states"
"美元硬币","united states"
"Mt Baker-Snoqualmie National Forest","united states"
"金门国家娱乐城","united states"
"5美分硬币","united states"
"加利福尼亚州路线1","united states"
"美国总统","united states"
"美国州际公路","united states"
